shift,condition,series,model,family,parameters_b,selected_method,score,weighted_mean
Truthfulness shift,ID,baseline,GPT-2 XL,GPT,1.5,ODESteer,37.58,83.54324324324324
Truthfulness shift,ID,baseline,Llama-3-8B,LLaMA,8.0,ODESteer,95.81,83.54324324324324
Truthfulness shift,ID,baseline,Qwen-2.5-14B,Qwen,14.0,A-LQR,71.82,83.54324324324324
Truthfulness shift,ID,baseline,OLMo-2-32B,OLMo,32.0,A-LQR,87.76,83.54324324324324
Truthfulness shift,ID,ours,GPT-2 XL,GPT,1.5,H∞ (ours),46.51,87.22927927927928
Truthfulness shift,ID,ours,Llama-3-8B,LLaMA,8.0,H∞ (ours),76.5,87.22927927927928
Truthfulness shift,ID,ours,Qwen-2.5-14B,Qwen,14.0,H∞ (ours),85.31,87.22927927927928
Truthfulness shift,ID,ours,OLMo-2-32B,OLMo,32.0,H∞ (ours),92.66,87.22927927927928
Truthfulness shift,OOD,baseline,GPT-2 XL,GPT,1.5,A-LQR,74.3,89.45171171171171
Truthfulness shift,OOD,baseline,Llama-3-8B,LLaMA,8.0,ODESteer,95.67,89.45171171171171
Truthfulness shift,OOD,baseline,Qwen-2.5-14B,Qwen,14.0,A-LQR,85.24,89.45171171171171
Truthfulness shift,OOD,baseline,OLMo-2-32B,OLMo,32.0,A-LQR,90.45,89.45171171171171
Truthfulness shift,OOD,ours,GPT-2 XL,GPT,1.5,H∞ (ours),84.21,89.6554054054054
Truthfulness shift,OOD,ours,Llama-3-8B,LLaMA,8.0,H∞ (ours),68.54,89.6554054054054
Truthfulness shift,OOD,ours,Qwen-2.5-14B,Qwen,14.0,H∞ (ours),88.74,89.6554054054054
Truthfulness shift,OOD,ours,OLMo-2-32B,OLMo,32.0,H∞ (ours),95.59,89.6554054054054
Adversarial shift,ID,baseline,Llama-3.2-1B-Instruct,LLaMA,1.0,A-LQR,90.42,84.48083333333334
Adversarial shift,ID,baseline,Llama-3.2-3B-Instruct,LLaMA,3.0,Original,83.33,84.48083333333334
Adversarial shift,ID,baseline,Llama-3.1-8B-Instruct,LLaMA,8.0,Original,84.17,84.48083333333334
Adversarial shift,ID,ours,Llama-3.2-1B-Instruct,LLaMA,1.0,H∞ (ours),97.08,95.45416666666667
Adversarial shift,ID,ours,Llama-3.2-3B-Instruct,LLaMA,3.0,H∞ (ours),91.67,95.45416666666667
Adversarial shift,ID,ours,Llama-3.1-8B-Instruct,LLaMA,8.0,H∞ (ours),96.67,95.45416666666667
Adversarial shift,OOD,baseline,Llama-3.2-1B-Instruct,LLaMA,1.0,A-LQR,94.5,89.42666666666666
Adversarial shift,OOD,baseline,Llama-3.2-3B-Instruct,LLaMA,3.0,A-LQR,88.42,89.42666666666666
Adversarial shift,OOD,baseline,Llama-3.1-8B-Instruct,LLaMA,8.0,A-LQR,89.17,89.42666666666666
Adversarial shift,OOD,ours,Llama-3.2-1B-Instruct,LLaMA,1.0,H∞ (ours),99.08,98.6725
Adversarial shift,OOD,ours,Llama-3.2-3B-Instruct,LLaMA,3.0,H∞ (ours),96.33,98.6725
